match      ,AUS,BHR,CHN,AZE,ESP,MON,CAN,FRA,AUT,GBR,GER,HUN
Mercedes   ,44 ,44 ,44 ,44 ,44 ,44 ,44 ,44 ,44 ,44 ,44 ,44
Mercedes   ,77 ,77 ,77 ,77 ,77 ,77 ,77 ,77 ,77 ,77 ,77 ,77
Ferrari    ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5
Ferrari    ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,16
RedBull    ,33 ,33 ,33 ,33 ,33 ,33 ,33 ,33 ,33 ,33 ,33 ,33
RedBull    ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10
McLaren    ,55 ,55 ,55 ,55 ,55 ,55 ,55 ,55 ,55 ,55 ,55 ,55
McLaren    ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4
ToroRosso  ,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26 ,26
ToroRosso  ,23 ,23 ,23 ,23 ,23 ,23 ,23 ,23 ,23 ,23 ,23 ,23
Renault    ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3
Renault    ,27 ,27 ,27 ,27 ,27 ,27 ,27 ,27 ,27 ,27 ,27 ,27
AlfaRomeo  ,7  ,7  ,7  ,7  ,7  ,7  ,7  ,7  ,7  ,7  ,7  ,7
AlfaRomeo  ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99
RacingPoint,18 ,18 ,18 ,18 ,18 ,18 ,18 ,18 ,18 ,18 ,18 ,18
RacingPoint,11 ,11 ,11 ,11 ,11 ,11 ,11 ,11 ,11 ,11 ,11 ,11
Haas       ,20 ,20 ,20 ,20 ,20 ,20 ,20 ,20 ,20 ,20 ,20 ,20
Haas       ,8  ,8  ,8  ,8  ,8  ,8  ,8  ,8  ,8  ,8  ,8  ,8
Williams   ,88 ,88 ,88 ,88 ,88 ,88 ,88 ,88 ,88 ,88 ,88 ,88
Williams   ,63 ,63 ,63 ,63 ,63 ,63 ,63 ,63 ,63 ,63 ,63 ,63
